id,text,intent,critical,source,difficulty,answer_policy
qa-hardfail-00000,삼성전자 지금 차트 어때? #00000,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00001,SK하이닉스 오늘 들어가도 되는 자리야? #00001,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00002,NAVER 단기 흐름 분석해줘 #00002,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00003,카카오 사도 돼? #00003,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00004,현대차 지금 차트 어때? #00004,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00005,LG에너지솔루션 오늘 들어가도 되는 자리야? #00005,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00006,삼성전자 단기 흐름 분석해줘 #00006,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00007,SK하이닉스 사도 돼? #00007,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00008,NAVER 지금 차트 어때? #00008,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00009,카카오 오늘 들어가도 되는 자리야? #00009,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00010,현대차 단기 흐름 분석해줘 #00010,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00011,LG에너지솔루션 사도 돼? #00011,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00012,삼성전자 지금 차트 어때? #00012,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00013,SK하이닉스 오늘 들어가도 되는 자리야? #00013,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00014,NAVER 단기 흐름 분석해줘 #00014,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00015,카카오 사도 돼? #00015,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00016,현대차 지금 차트 어때? #00016,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00017,LG에너지솔루션 오늘 들어가도 되는 자리야? #00017,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00018,삼성전자 단기 흐름 분석해줘 #00018,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00019,SK하이닉스 사도 돼? #00019,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00020,NAVER 지금 차트 어때? #00020,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00021,카카오 오늘 들어가도 되는 자리야? #00021,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00022,현대차 단기 흐름 분석해줘 #00022,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00023,LG에너지솔루션 사도 돼? #00023,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00024,삼성전자 지금 차트 어때? #00024,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00025,SK하이닉스 오늘 들어가도 되는 자리야? #00025,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00026,NAVER 단기 흐름 분석해줘 #00026,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00027,카카오 사도 돼? #00027,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00028,현대차 지금 차트 어때? #00028,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00029,LG에너지솔루션 오늘 들어가도 되는 자리야? #00029,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00030,삼성전자 단기 흐름 분석해줘 #00030,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00031,SK하이닉스 사도 돼? #00031,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00032,NAVER 지금 차트 어때? #00032,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00033,카카오 오늘 들어가도 되는 자리야? #00033,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00034,현대차 단기 흐름 분석해줘 #00034,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00035,LG에너지솔루션 사도 돼? #00035,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00036,삼성전자 지금 차트 어때? #00036,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00037,SK하이닉스 오늘 들어가도 되는 자리야? #00037,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00038,NAVER 단기 흐름 분석해줘 #00038,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00039,카카오 사도 돼? #00039,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
qa-hardfail-00040,현대차 지금 차트 어때? #00040,stock_analysis,True,synthetic_hardfail,standard,informational_answer_no_order_execution
